"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Modal object diagrams","https://scispace.com/paper/modal-object-diagrams-52x8oy75j1","2011","Proceedings Article","European Conference on Object-Oriented Programming","Shahar Maoz
Jan Oliver Ringert
Bernhard Rumpe","10.5555/2032497.2032517","https://scispace.com/pdf/modal-object-diagrams-52x8oy75j1.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Alloy to transform and analyze modal object diagrams; embeds OCL predicates for constraints; provides a formal verification workflow, but does not address credential schemas, trust frameworks, or Description Logic.","While object diagrams (ODs) are widely used as a means to document object-oriented systems, they are expressively weak, as they are limited to describe specific possible snapshots of the system at hand. In this paper we introduce modal object diagrams (MODs), which extend the classical OD language with positive/negative and example/invariant modalities. The extended language allows the designer to specify not only positive example models but also negative examples, ones that the system should not allow, positive invariants, ones that all system's snapshots should include, and negative invariants, ones that no system snapshot is allowed to include. Moreover, as a primary application of the extended language we provide a formal verification technique that decides whether a given class diagram satisfies (i.e., models) a multi-modal object diagrams specification. In case of a negative answer, the technique outputs relevant counterexample object models, as applicable. The verification is based on a reduction to Alloy. The ideas are implemented in a prototype Eclipse plug-in. Examples show the usefulness of the extended language in specifying structural requirements of object-oriented systems in an intuitive yet expressive way."
"Visual specifications of policies and their verification","https://scispace.com/paper/visual-specifications-of-policies-and-their-verification-uq61f9lwag","2003","Book Chapter","Fundamental Approaches to Software Engineering","Manuel Koch
Francesco Parisi-Presicce","10.1007/3-540-36578-8_20","https://scispace.com/pdf/visual-specifications-of-policies-and-their-verification-uq61f9lwag.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Alloy to model and verify policy rules; includes OCL and graph‑based constraints for consistency checks; focuses on formal verification, but does not address credential schemas or trust frameworks.","The specification of policies is a crucial aspect in the development of complex systems, since policies control the system's behavior. In order to predict a possibly incorrect behavior of the system, it is necessary to have a precise specification of the policy, better if described in an intuitive formalism. We propose policy specifications in three modeling notations, viz. UML, Alloy and Graph Transformations, and compare them from the viewpoint of readability, verifiability as well as tool support. We use a role-based access control policy as example policy."
"Ensuring spatio-temporal access control for real-world applications","https://scispace.com/paper/ensuring-spatio-temporal-access-control-for-real-world-cdy9pt5sx1","2009","Proceedings Article","Symposium on Access Control Models and Technologies","Manachai Toahchoodee
Indrakshi Ray
Kyriakos Anastasakis
Geri Georg
Behzad Bordbar","10.1145/1542207.1542212","https://scispace.com/pdf/ensuring-spatio-temporal-access-control-for-real-world-cdy9pt5sx1.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Alloy and OCL to formally model and verify spatio‑temporal access‑control constraints; does not address credential schemas or trust frameworks, nor include Description Logic.","Traditional access control models, such as Role-Based Access Control (RBAC), do not take into account contextual information, such as location and time, for making access decisions. Consequently, they are inadequate for specifying the access control needs of many complex real-world applications, such as the Dengue Decision Support (DDS) that we discuss in this paper. We need to ensure that such applications are adequately protected using emerging access control models. This requires us to represent the application and its access control requirements in a formal specification language. We choose the Unified Modeling Language (UML) for this purpose, since UML is becoming the defacto specification language in the software industry. We need to analyze this formal specification to get assurance that the application is adequately protected. Manual analysis is error-prone and tedious. Thus, we need automated tools for verification of UML models. Towards this end, we propose that the UML models be converted to Alloy. Alloy is based on first-order logic, has a software infrastructure that supports automated analysis, and has been used for the verification of real-world applications. We show how to convert the UML models to Alloy and verify the resulting model using the Alloy Analyzer which has embedded SAT-solvers. The results from the Alloy Analyzer will help uncover the flaws in the specification and help us refine the application and its access control requirements."
"A model driven engineering approach to build secure information systems","https://scispace.com/paper/a-model-driven-engineering-approach-to-build-secure-30hiyfwfic","2017","Dissertation","","Thi Xuan Mai Nguyen","","https://scispace.com/pdf/a-model-driven-engineering-approach-to-build-secure-30hiyfwfic.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Alloy to model and verify RBAC schemas, providing formal consistency checks, but lacks credential schema, trust framework, OCL, or Description Logic aspects.","Nowadays, organizations rely more and more on information systems to collect, manipulate, and exchange their relevant and sensitive data. In these systems, security plays a vital role. Indeed, any security breach may cause serious consequences, even destroy an organization's reputation. Hence, sufficient precautions should be taken into account. Moreover, it is well recognized that the earlier an error is discovered, the easier and cheaper it is debugged. The objective of this thesis is to define adequate security policies since the early development phases and ensure their correct deployment on a given technological infrastructure. Our approach starts by specifying a set of security requirements, i.e. static and dynamic rules, along with the functional aspect of a system based on the Unified Modeling Language (UML). Fundamentally, the functional aspect is expressed using a UML class diagram, the static security requirements are modeled using SecureUML diagrams, and the dynamic rules are represented using secure activity diagrams. We then define translation rules to obtain B specifications from these graphical models. The translation aims at giving a precise semantics to these diagrams, thus proving the correctness of these models and verifying security policies with respect to the related functional model using the AtelierB prover and the ProB animator. The obtained B specification is successively refined to a database-like implementation based on the AOP paradigm. The B refinements are also proved to make sure that the implementation is correct with respect to the initial abstract specification. Our translated AspectJ-based program allows separating the security enforcement code from the rest of the application. This approach avoids scattering and tangling the application's code, thus it is easier to track and maintain. Finally, we develop a tool that automates the generation of the B specification from UML-based models and of the AspectJ program connected to a relational database management system from the B implementation. The tool helps disburden developers of the difficult and error-prone task and improve the productivity of the development process"
"Detection of Inconsistencies in SysML/OCL Models Using OWL Reasoning","https://scispace.com/paper/detection-of-inconsistencies-in-sysml-ocl-models-using-owl-3vjgtrxd","2023","Journal Article","SN computer science","Shan Lu
Alexey Tazin
Yanji Chen
Mieczyslaw M. Kokar
Jeffrey E. Smith","10.1007/s42979-022-01577-0","https://scispace.com/pdf/detection-of-inconsistencies-in-sysml-ocl-models-using-owl-3vjgtrxd.pdf","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OWL DL with Pellet for consistency checking; maps OCL constraints to OWL enabling formal verification. No focus on credential schemas or trust frameworks; Alloy not employed.","Abstract Requirement change management is a challenging issue in software development. One of the main objectives of the Intent-Defined Adaptive Software program is to verify the satisfaction of requirement changes during software development. In this paper, we develop an ontology-based method to detect inconsistencies in Systems Modeling Language (SysML) models with Object Constraint Language (OCL) constraints as a first step of requirement change management. Specifically, we map the SysML/OCL models to Web Ontology Language (OWL), so that the consistency of the corresponding ontology can be checked by OWL reasoners automatically. We propose a set of mapping rules to interpret the components of SysML state machine diagrams, along with OCL constraints, to OWL. Toward this objective, we demonstrate three consistency reasoning tasks over a state machine diagram using OWL reasoners. In each case, the result of reasoning is accompanied by an explanation of the logic behind the decision. "
"Basic Laws of Object Modeling","https://scispace.com/paper/basic-laws-of-object-modeling-3b94f08d4l","2004","Dissertation","","Rohit Ghevi","","https://scispace.com/pdf/basic-laws-of-object-modeling-3b94f08d4l.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to define and automatically check basic object‑modeling laws; provides formal proofs and tool support, but does not address trust frameworks, OCL/DL, or credential schema consistency.",""
"A Formal Methods Approach to Security Requirements Specification and Verification","https://scispace.com/paper/a-formal-methods-approach-to-security-requirements-41icto30mb","2019","Proceedings Article","International Conference on Engineering of Complex Computer Systems","Quentin Rouland
Brahim Hamid
Jean-Paul Bodeveix
Mamoun Filali","10.1109/ICECCS.2019.00033","","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify security properties, providing a formal verification workflow; however, it does not address credential schema consistency, OCL/graph constraints, or Description Logic.","The specification and the verification of security requirements is one of the major computer-based systems challenges. Security requirements need to be precisely specified before a tool can manipulate them, and though several approaches to security requirements specification have been proposed, they do not provide the scalability and flexibility required in practice. We take this problem towards an integrated approach for security requirement specification and treatment during the software architecture design time. The general idea of the approach is to: (1) specify security requirements as properties of a modeled system in a technology-independent specification language; (2) implement the developed model in a suitable language with tool support for requirement satisfaction through model verification; and (3) suggest a set of security policies to constrain the operation of the system and to guarantee the security properties. In the scope of this paper, we use first-order logic as a formalism that is abstract and technology-independent and Alloy as a tooled language used in modeling and software development. To validate our work, we explore a set of representative security properties from categories based on CIA classification in the context of secure component-based software architecture development."
"Alloy4CMD: A Formal Approach for Component-based Modeling of Distributed Ledger Technology Architecture","https://scispace.com/paper/woOv6mAfx28J","","","","A Lohachab
S Garg
MB Amin","","https://dl.acm.org/doi/pdf/10.1145/3772069","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to model and verify DLT component consistency; focuses on formal verification, but does not address credential schemas, OCL/DL, or trust frameworks.",""
"Analysing Web Ontology in Alloy: A Military Case Study.","https://scispace.com/paper/analysing-web-ontology-in-alloy-a-military-case-study-3b1qncbjg2","2003","Proceedings Article","Software Engineering and Knowledge Engineering","Jin Song Dong
Jun Sun
Hai H. Wang
Chew Hung Lee
Hian Beng Lee","","https://scispace.com/pdf/analysing-web-ontology-in-alloy-a-military-case-study-3b1qncbjg2.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Alloy to automatically check ontology consistency, providing a formal verification method; however, it does not address credential schemas, OCL/graph constraints, or Description Logic.","Correctness is the essential requirement criteria for military web ontology based information systems. Reasoning and consistency checking can be useful at many stages during the design, maintenance and deployment of Semantic Web (SW) ontology. Formal methods can provide automatic reasoning and consistency checking services for SW. In this paper, we use military plan ontology as a case study to demonstrate how Alloy can be applied to check SW ontol-"
"An MDA Framework Supporting OCL","https://scispace.com/paper/an-mda-framework-supporting-ocl-37o94mda5a","2007","Journal Article","Electronic Communication of The European Association of Software Science and Technology","Achim D. Brucker
Jürgen Doser
Burkhart Wolff","10.14279/TUJ.ECEASST.5.45","https://scispace.com/pdf/an-mda-framework-supporting-ocl-37o94mda5a.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OCL for formal proof obligations and centers on theorem‑proving verification; lacks Alloy, DL, and credential‑schema trust‑framework focus.","We present a model-driven architecture (MDA) framework that integrates formal analysis techniques into an industrial software development process model. This comprises modeling using UML/OCL, processing models by model transformations, code generation (including runtime-test environments) and formal analysis using the theorem proving environment HOL-OCL. Moreover, our frameworks supports the verification of proof obligations that are generated during model transformations.

We show the extensibility of our approach by providing a SecureUML extension of the framework, which allows for an integrated specification of security properties, their analysis and their conversion to code."
