"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Reference Model, Governance Framework and Instantiation Strategy","https://scispace.com/paper/reference-model-governance-framework-and-instantiation-3fsjjr58y0","2017","Book Chapter","","Pierre-Léonard Harvey","10.1007/978-3-319-65373-0_7","","… the co-creation stages of a theoretical reference model, a governance model of the project and the semiformal instantiation framework of community informatics design, the object of the …","Digital social systems can be centred on several economic activity models seeking to transform the physical creativity vision of organizations and traditional social systems (architectures and construction of buildings with well-defined borders, linear process of enterprises’ value chain, university or government institutions) in a multiform and multifunctional network structure, in order to increase their chances to commit to “collaborative activities” producing value. New virtual environments co-design to assist the design of digital social systems (services portal or innovations community) that systematically uses the network and socio-digital media infrastructures. Community informatics design will take a considerable scope in the next years because the “participative social architecture” (PSA) adds a sense of location and time and an additional value to traditional notions of physical space and social time, where human activities used to take place (Harvey 2018, to be published)."
"A Systemic Model for AI Governance: A Multilayer Framework Integrating Data, Models, Interaction, and Use Cases with Continuous Compliance-by-Design","https://scispace.com/paper/pUzglQTdwVEJ","","","","C Santos Nunes","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5894123","… as a modular governance framework rather than a linear narrative. Readers may engage selectively with specific layers, domains, or risk mechanisms relevant to their regulatory, …",""
"The unified control framework: Establishing a common foundation for enterprise ai governance, risk management and regulatory compliance","https://scispace.com/paper/the-unified-control-framework-establishing-a-common-3mfg1gbz34w4","2025","Journal Article","arXiv.org","Ian W. Eisenberg
Luc'ia Gamboa
Eli Sherman","10.48550/arxiv.2503.05937","https://arxiv.org/pdf/2503.05937?","… trol Framework (UCF): a comprehensive governance approach that integrates risk management and regulatory compliance … requirement may demand specific control instantiations. For …",""
"Redefining governance, risk, and compliance (GRC) in the digital age: integrating AI-Driven risk management frameworks","https://scispace.com/paper/redefining-governance-risk-and-compliance-grc-in-the-digital-itwwzyskhdy2","2023","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Eniola Akinola Odedina","10.30574/wjaets.2023.10.1.0257","https://www.researchgate.net/profile/Eniola-Odedina/publication/392194337_Redefining_Governance_Risk_and_Compliance_GRC_in_the_Digital_Age_Integrating_AI-Driven_Risk_Management_Frameworks/links/683852b36a754f72b58d1d32/Redefining-Governance-Risk-and-Compliance-GRC-in-the-Digital-Age-Integrating-AI-Driven-Risk-Management-Frameworks.pdf","… Governance, Risk, and Compliance (GRC) platforms is revolutionizing how organizations manage internal controls, regulatory compliance, … Some AI techniques, such as deep learning, …","Governing, Risk, and Compliance (GRC) systems are the central pillars for developing organizational responsibility, ethical behavior, and resistance to internal and external threats. With the increased emergence of cyber worlds and extensive usage of advanced cyber-attacks, extensive failures have been seen from traditional GRC models, due to which more adaptive and intelligent solutions are needed. For the sake of this analysis, the evolving ability of Artificial Intelligence (AI) to provide more efficient risk management to GRC models is considered. With the application of real-time analytics, predictive modeling, and self-autonomous decisions, AI has an element of adaptive responsiveness and foresight that has never existed in conventional systems. The research recognizes the most important enablers of AI-based risk management, including data convergence, machine learning, and automation tools, and shows actual use cases in business operations across industries. The research explores the advantages of such convergence, including better threat detection, quicker monitoring of compliance, and real-time risk mitigation. Apart from these advantages, the study highlights major challenges such as data privacy issues, algorithmic bias, and the necessity for transparent decision-making processes. To bridge the gap between automation and accountability, the paper suggests a hybrid GRC architecture integrating machine learning and human intervention to impose efficiency and ethically driven governance. Finally, the research suggests policy and strategy reforms involved in shifting to AI-based GRC and new policies based on frontier technology. This research recognizes the necessity to redefine GRC in the current digital era, where AI is set to occupy the center stage of building robust, compliant, and future-oriented organizations. "
"Framework for Government Policy on Agentic and Generative AI: Governance, Regulation, and Risk Management","https://scispace.com/paper/framework-for-government-policy-on-agentic-and-generative-ai-b45e5d39v7fc","2025","Journal Article","","Satyadhar Joshi","10.2139/ssrn.5511060","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5511060","… governance framework that integrates technical safeguards, ethical alignment, and adaptive regulatory compliance… threats but would benefit from deeper citation coverage. The concept …",""
"Exploring technological instantiation of regulatory practices in entangled financial markets","https://scispace.com/paper/exploring-technological-instantiation-of-regulatory-18jl1o8lmp","2021","Journal Article","Journal of Information Technology","Wendy L. Currie
Jonathan J. M. Seddon","10.1177/02683962211027308","https://audencia.hal.science/hal-03599145/file/Exploring%20technological%20instantiation%20of%20regulatory%20practices.pdf","… Technologies used in regulatory compliance provide a … This established the framework that enabled banks and … The appetite to increase governance, regulation and compliance…","The literature on the sociology of financial markets and institutional theory promotes concepts of field, networks, performativity, agencement and financial entropy. This study builds a conceptual ..."
"Trustworthy Real-Time Orchestration For Regulatory Compliance In Financial Transaction Systems","https://scispace.com/paper/CcOHPXHDSUAJ","","","","SD Choudhury","","","… proposes a framework for building trustworthy orchestration systems in real-time compliance … Similarly, the deployment of artificial intelligence in compliance creates new governance …",""
"… ADAPTIVE COMPLIANCE FRAMEWORKS USING TIME SERIES FRAUD DETECTION MODELS FOR DYNAMIC REGULATORY AND RISK MANAGEMENT …","https://scispace.com/paper/Rag-aVfMX9kJ","","","","A Odunaike","","https://www.researchgate.net/profile/Anjola-Odunaike/publication/395265192_DESIGNING_ADAPTIVE_COMPLIANCE_FRAMEWORKS_USING_TIME_SERIES_FRAUD_DETECTION_MODELS_FOR_DYNAMIC_REGULATORY_AND_RISK_MANAGEMENT_ENVIRONMENTS/links/68b9c18a653c451cf47461a9/DESIGNING-ADAPTIVE-COMPLIANCE-FRAMEWORKS-USING-TIME-SERIES-FRAUD-DETECTION-MODELS-FOR-DYNAMIC-REGULATORY-AND-RISK-MANAGEMENT-ENVIRONMENTS.pdf","… networks, and hybrid deep learning architectures to capture … The evolution of regulatory compliance frameworks reflects a … health governance structures began integrating compliance …",""
"Normative requirements for regulatory compliance: An abstract formal framework","https://scispace.com/paper/normative-requirements-for-regulatory-compliance-an-abstract-59vb5anin4","2016","Journal Article","Information Systems Frontiers","Mustafa Hashmi
Guido Governatori
Moe Thandar Wynn","10.1007/S10796-015-9558-1","https://eprints.qut.edu.au/83732/23/Main.pdf","… Since business processes can be modeled by means of transition systems using various modeling languages, we adopt Petri-net based workflow-nets as a transition system to …","By definition, regulatory rules (in legal context called norms) intend to achieve specific behaviour from business processes, and might be relevant to the whole or part of a business process. They can impose conditions on different aspects of process models, e.g., control-flow, data and resources etc. Based on the rules sets, norms can be classified into various classes and sub-classes according to their effects. This paper presents an abstract framework consisting of a list of norms and a generic compliance checking approach on the idea of (possible) execution of processes. The proposed framework is independent of any existing formalism, and provides a conceptually rich and exhaustive ontology and semantics of norms needed for business process compliance checking. Apart from the other uses, the proposed framework can be used to compare different compliance management frameworks (CMFs)."
"Resignifying compliance between ontologies and epistemologies of law","https://scispace.com/paper/sQ9QD2llJysJ","","","","M Buffa","","","… Products, services or regulatory frameworks that consider the principle of … that will not be the subject of in-depth analysis here. … Specifically, we can distinguish regulatory compliance …",""
"Architecting Intelligence through the Upper Modeling Framework: Deep Semantic Modeling in Search of Building Blocks","https://scispace.com/paper/architecting-intelligence-through-the-upper-modeling-plujla744d10","2025","Journal Article","","Rubina Polovina","10.2139/ssrn.5243757","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5243757","… This higher-order modeling facilitates the abstraction and … of frameworks that transcend specific domains and apply … and instantiate itself into computationally tractable frameworks …",""
"DRADG: A Dynamic Risk-Adaptive Data Governance Framework for Modern Digital Ecosystems","https://scispace.com/paper/CmaFm0zFTB8J","","","","J Gharib
Y Gahi","","","… due to the complexity of regulatory compliance. It is also … Finally, we instantiated DRADG on a representative platform … But using Deep Q-Learning has allowed us to put a framework in …",""
"Technologies of compliance: Risk and regulation in a digital age","https://scispace.com/paper/technologies-of-compliance-risk-and-regulation-in-a-digital-48wmht8aea","2009","Posted Content","Social Science Research Network","Kenneth A. Bamberger","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1463727","… for governance: the automation of compliance with laws … promotes a ""Unified Governance Framework"" based on … for asset management, legal compliance, structures and systems …","Legal scholarship has been silent about a phenomenon with profound implications for governance: the automation of compliance with laws mandating risk management. Regulations - from bank capitalization rules, to Sarbanes-Oxley’s provisions on financial fraud and misrepresentation, to laws governing information-privacy protection - frequently require regulated firms to develop internal processes to identify, assess, and mitigate risk. To comply, firms have turned wholesale to technology systems and computational analytics that measure and predict corporate risk levels and “force” decisions accordingly. In total, the third-party market for compliance-technology products - known generally as “governance, risk, and compliance” (GRC) software, systems, and services - alone grew to $52 billion last year, and this growth is poised to increase exponentially. While these technology systems offer powerful compliance tools, they also pose real perils. They permit computer programmers to interpret legal requirements; they mask the uncertainty of the very hazards with which policy makers are concerned; they skew decision making through an “automation bias” that privileges personal self-interest over sound judgment; and their lack of transparency thwarts oversight and accountability. These phenomena played a critical role in the recent financial crisis. This Article explores these developments and the failure of risk regulation to address them. While regulators have lauded the turn to technology, they have ignored its perils. By contrast, the Article investigates the accountability challenges posed by these and other technologies of control, and suggests specific reform measures for policy makers revisiting the governance of risk. It argues for more activist regulator oversight backed by sanctions before disaster has occurred. But it also emphasizes collaboration in developing risk-management systems, drawing both on the granular expertise of firms and the broader vantage of administrative agencies. Most importantly, it seeks better to reflect the human decision-making element at both levels: to recognize the ways in which technology can hinder good judgment, to reintroduce human inputs in the decision process, and to reflect the limits of both human and computer reasoning."
"Deep Learning–Driven Retrieval-Augmented Generation for Enterprise ITSM Automation: A Governance-Aligned Large Language Model Architecture","https://scispace.com/paper/u4olPhSUb8YJ","","","","SH Kolla","","https://www.academia.edu/download/130940929/JoCAAA_December_2023_Issue.pdf","… Regulatory compliance considerations dictate scepticism … to a holistic governance and implementation framework and … Overriding the specialized instantiation of RAG LLM operations, …",""
"Governing Autonomous AI Agents with Policy-as-Code: A Multi-Layer Architecture for Risk, Compliance, and Zero-Trust Control","https://scispace.com/paper/X-M9RYulHJ8J","","","","F Jackson","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5820262","… a unified Policyas-Code (PaC) governance architecture that … mapping of major frameworks to governance mechanisms, … architecture demonstrates that regulatory compliance can be …",""
"An ontological framework for automated regulatory compliance in pharmaceutical manufacturing","https://scispace.com/paper/an-ontological-framework-for-automated-regulatory-compliance-1y9zbppmrm","2010","Journal Article","Computers & Chemical Engineering","M. Berkan Sesen
Pradeep Suresh
René Bañares-Alcántara
Venkat Venkatasubramanian","10.1016/J.COMPCHEMENG.2009.09.004","","… rigorous regulatory requirements. As a consequence, ensuring regulatory compliance and … to support decision making in regulatory compliance. The proposed ontological informatics …",""
"OntoMotoOS: Adaptive Evolution and Continuous Governance Protocols for Real-World Deployment","https://scispace.com/paper/ontomotoos-adaptive-evolution-and-continuous-governance-nqkqeyws3cz5","2025","Journal Article","","Y. Kim","10.2139/ssrn.5393119","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5393119","… Finally, we consider future expansion scenarios: from interplanetary ethical frameworks for … /legal domains. Each cell of the matrix describes how that principle is instantiated locally, and …",""
