"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"A Methodological Approach to Legal Governance Validation","https://scispace.com/paper/CYqKlZXWcGoJ","","","","M Palmirani
P Casanovas
U Pagallo
G Sartor","","https://optimai.eu/wp-content/uploads/2024/07/AICOL23-Three-Steps-Methodology-final5.pdf","- **Relevance Score:** 50/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a legal governance metamodel to validate regulations, directly applies multi‑level concepts to governance, but lacks potency‑based depth and does not reference Atkinson or Kühne.",""
"Governing Government: A Framework for Multi-tier Institution Specification and Reasoning (Doctoral Consortium)","https://scispace.com/paper/governing-government-a-framework-for-multi-tier-institution-28irb2opey","2015","","","Thomas C. King
Virginia Dignum
M. Birna van Riemsdijk","","","- **Relevance Score:** 50/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a multi‑tier institution framework to model governance and compliance, but lacks explicit potency‑based/metamodeling theory and does not engage Atkinson or Kühne.","A key challenge of institutions is how to guide their governing into being desirable. This is important from the perspective of an agent governed by an institution to maintain specific rights, and of cross-institutional policies that require institutions’ regulations to be coordinated (e.g. national legislations with supranational policy). This research addresses this problem by developing a framework for the specification and automated reasoning of institution governing institutions, in a hierarchical structure called multi-tier institutions, and automated revision of institutions for compliance. This automates guiding institutional designers towards desirable institutional specifications respecting autonomy and subsidiarity."
"Processes and products in a multi-level metamodeling architecture","https://scispace.com/paper/processes-and-products-in-a-multi-level-metamodeling-67gilbnv42","2001","Journal Article","International Journal of Software Engineering and Knowledge Engineering","Colin Atkinson
Thomas Kühne","10.1142/S0218194001000724","https://homepages.ecs.vuw.ac.nz/~tk/publications/papers/processes-products.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multi‑level metamodeling pattern to co‑model processes and products; authored by Atkinson and Kühne, extending their own framework. No governance focus, application, formal semantics, tools, or evaluation.","Following the successful use of object-oriented metamodeling in the definition of the UML and other notation standards there is increasing interest in extending the approach to cover other concepts of software development, including processes. However, it turns out that the ""obvious"" approaches for using metamodels to describe processes and artifacts independently do not integrate well together in a natural and straightforward way. In this paper we discuss the problems and inconsistencies than can arise when trying to model a process and the products it creates within the same metamodeling framework, and present a solution that not only avoids many of these problems but also qualifies as a general metamodeling pattern. We then generalize the conceptual architecture to support the sound co-modeling of all independent areas of concern within the context of strict metamodeling."
"The essence of multilevel metamodeling","https://scispace.com/paper/the-essence-of-multilevel-metamodeling-4gr43qnume","2001","Book Chapter","Lecture Notes in Computer Science","Colin Atkinson
Thomas Kühne","10.1007/3-540-45441-1_3","https://www.academia.edu/download/30668025/essence.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides a deep, potency‑based foundation for multi‑level metamodeling and builds on Atkinson/Kühne work, but lacks governance focus, application, formal semantics, tools, or evaluation.","As the UMLattempts to make the transition from a single, albeit extensible, language to a framework for a family of languages, the nature and form of the underlying meta-modeling architecture will assume growing importance. It is generally recognized that without a simple, clean and intuitive theory of how metamodel levels are created and related to one another, the UML2.0 vision of a coherent family of languages with a common core set of concepts will remain elusive. However, no entirely satisfactory metamodeling approach has yet been found. Current (meta-)modeling theories used or proposed for the UML all have at least one fundamental problem that makes them unsuitable in their present form. In this paper we bring these problems into focus, and present some fundamental principles for overcoming them. We believe that these principles need to be embodied within the metamodeling framework ultimately adopted for the UML2.0 standard."
"Rearchitecting the UML infrastructure","https://scispace.com/paper/rearchitecting-the-uml-infrastructure-1lgrz5vkf2","2002","Journal Article","ACM Transactions on Modeling and Computer Simulation","Colin Atkinson
Thomas Kühne","10.1145/643120.643123","https://scispace.com/pdf/rearchitecting-the-uml-infrastructure-1lgrz5vkf2.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Explains potency‑based deep instantiation; lacks governance or regulatory content; does not apply to compliance; authored by Atkinson and Kühne, directly presenting their approach.","Metamodeling is one of the core foundations of computer-automated multiparadigm modeling. However, there is currently little agreement about what form the required metamodeling approach should take and precisely what role metamodels should play. This article addresses the problem by first describing some fundamental problems in the industry's leading metamodeling technology, the UML framework, and then explaining how this framework could be rearchitected to overcome these problems. Three main issues are identified in the current framework: the dual classification problem arising from the need to capture both the logical and physical classification of model elements, the class/object duality problem arising from the need to capture both the classlike and objectlike facets of some model elements, and the replication of concepts problem arising from the need to define certain concepts multiple times. Three main proposals for rearchitecting the UML framework to overcome these problems are then presented: the separation of logical and physical classification dimensions, the unification of the class and object facets of model elements, and the enhancement of the instantiation mechanism to allow definitions to transcend multiple levels. The article concludes with a discussion of other practical issues involved in rearchitecting the UML modeling framework in the proposed way."
"Dual deep modeling : multi-level modeling with dual potencies and its formalization in F-Logic","https://scispace.com/paper/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s","2018","Journal Article","Software and Systems Modeling","Bernd Neumayr
Christoph G. Schuetz
Manfred A. Jeusfeld
Michael Schrefl","10.1007/S10270-016-0519-Z","https://scispace.com/pdf/dual-deep-modeling-multi-level-modeling-with-dual-potencies-1n42hivp5s.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides potency‑based deep instantiation formalized in F‑Logic, enabling consistency checking via Flora‑2; lacks any governance or regulatory application and does not engage Atkinson/Kühne work.","An enterprise database contains a global, integrated, and consistent representation of a company’s data. Multi-level modeling facilitates the definition and maintenance of such an integrated conceptual data model in a dynamic environment of changing data requirements of diverse applications. Multi-level models transcend the traditional separation of class and object with clabjects as the central modeling primitive, which allows for a more flexible and natural representation of many real-world use cases. In deep instantiation, the number of instantiation levels of a clabject or property is indicated by a single potency. Dual deep modeling (DDM) differentiates between source potency and target potency of a property or association and supports the flexible instantiation and refinement of the property by statements connecting clabjects at different modeling levels. DDM comes with multiple generalization of clabjects, subsetting/specialization of properties, and multi-level cardinality constraints. Examples are presented using a UML-style notation for DDM together with UML class and object diagrams for the representation of two-level user views derived from the multi-level model. Syntax and semantics of DDM are formalized and implemented in F-Logic, supporting the modeler with integrity checks and rich query facilities."
"The Role of Metamodeling in MDA","https://scispace.com/paper/the-role-of-metamodeling-in-mda-2q4pujrl6d","2002","","","Colin Atkinson
Thomas Kühne","","https://scispace.com/pdf/the-role-of-metamodeling-in-mda-2q4pujrl6d.pdf","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep instantiation and potency to simplify multi‑level modeling; authored by Atkinson and Kühne, extending their own concepts. No governance or compliance application discussed.","There is general agreement that metamodeling will play a pivotal role in the realization of the MDA, but less consensus on what the precise role of metamodeling should be and what form it should take. In this paper we first analyze the underlying motivation for metamodeling within the context of the MDA and derive a concrete set of requirements that an MDA supporting infrastructure should satisfy. We then present a number of concepts, which we believe are best suited to providing technical solutions to the identified requirements. In particular, we discuss why the traditional “language definition” view is insufficient for an optimal MDA foundation."
"Multi-dimensional multi-level modeling","https://scispace.com/paper/multi-dimensional-multi-level-modeling-3sd9crfx","2022","Journal Article","Software and Systems Modeling","Thomas D. Kühne","10.1007/s10270-021-00951-5","","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses leap potency and deep references to define multi‑level modeling. Builds on Kühne's own work, referencing Atkinson/Kühne approaches. Lacks governance focus, application, tools, or empirical data.",""
"The rationale of powertype-based metamodelling to underpin software development methodologies","https://scispace.com/paper/the-rationale-of-powertype-based-metamodelling-to-underpin-vodsmkf2pm","2005","Proceedings Article","Asia-Pacific Conference on Conceptual Modelling","Brian Henderson-Sellers
Cesar Gonzalez-Perez","","https://scispace.com/pdf/the-rationale-of-powertype-based-metamodelling-to-underpin-vodsmkf2pm.pdf","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Explores potency and deep instantiation, directly extending Atkinson/Kühne, but offers no governance context, applications, formal semantics, tooling, or empirical validation.","Metamodelling provides a way of modelling the rules underpinning not only modelling languages such as UML but also processes. In the context of object-oriented development, we evaluate the conceptual framework used to reason about metamodelling from the different perspectives of methodologist, method engineer and software developer. We propose the use of clabjets and powertype patterns as a solution to avoid the present inconsistencies in the use of a strict metamodelling multi-level hierarchy and demonstrate their efficacy in providing a solid and improved framework for OO-based process (and product) metamodelling."
"Model-driven engineering with domain-specific meta-modelling languages","https://scispace.com/paper/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk","2015","Journal Article","Software and Systems Modeling","Juan de Lara
Esther Guerra
Jesús Sánchez Cuadrado","10.1007/S10270-013-0367-Z","https://scispace.com/pdf/model-driven-engineering-with-domain-specific-meta-modelling-2r9ib8okmk.pdf","- **Relevance Score:** 36/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses potency‑based multi‑level metamodeling to define DSMM languages, extending MetaDepth. Mentions Atkinson/Kühne as foundation. No governance or regulatory content, thus not applicable to those domains.","Domain-specific modelling languages are normally defined through general-purpose meta-modelling languages like the MOF. While this is satisfactory for many model-driven engineering (MDE) projects, several researchers have identified the need for domain-specific meta-modelling (DSMM) languages. These provide customised domain-specific meta-modelling primitives aimed at the definition of modelling languages for a specific domain, as well as the construction of meta-model families. Unfortunately, current approaches to DSMM rely on ad hoc methods which add unnecessary complexity to the realization of DSMM in practice. Hence, the goal of this paper is to simplify the definition and usage of DSMM languages. For this purpose, we apply multi-level meta-modelling for the systematic engineering of DSMM architectures. Our method integrates techniques to control the meta-modelling primitives offered to the users of the DSMM languages, provides a flexible approach to define textual concrete syntaxes for DSMM languages, and extends existing model management languages (for model-to-model transformation, in-place transformation and code generation) to work in a multi-level setting, thus enabling the practical use of DSMM in MDE. As a proof of concept, we report on a working implementation of these ideas in the MetaDepth tool."
