"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Formalising Linked-Data based Verifiable Credentials for Selective Disclosure","https://scispace.com/paper/formalising-linked-data-based-verifiable-credentials-for-3tgutv81","2022","Proceedings Article","","","10.1109/eurospw55150.2022.00013","","- **Relevance Score:** 94/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a formal Linked‑Data VC model, ontology, and JSON‑LD schema; integrates them into a cohesive ecosystem with prototype, security proof, and performance results.","In this paper, we propose a formal definition for Linked-Data based verifiable credential to enable secure selective disclosure among one or multiple verifiable creden-tials a user has. Previous schemes considered using a single verifiable credential and could not hide the user&#x0027;s identifying information when performing selective disclosure. We pro-pose the first Linked-Data based verifiable credentials that can perform selective disclosure free from the restrictions the previous scheme had, and prove its property. We also discuss a novel use of combining multiple certificates issued by independent issuers to still allow users to perform selective disclosure on the set of credentials. Our scheme has been implemented as an open source Web-based application that generates a verifiable presentation for a given selection of attributes. The performance evaluation is also provided in the paper. "
"From Model to Mechanism: Enforcing Delegated Authority in SSI with Language-Based Security","https://scispace.com/paper/from-model-to-mechanism-enforcing-delegated-authority-in-ssi-2r01zx7o705g","2025","Journal Article","Mathematics","Muhamed Turkanović
Vid Keršič
Alen Horvat
Dominik Beron
Špela Čučko","10.3390/math13182971","","- **Relevance Score:** 71/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides a rigorous delegation formalism aligned with VC standards, extends the VC schema with delegation attributes, and integrates policy enforcement via OPA, demonstrated through realistic use cases and a prototype.","Delegation of authority remains a critical yet insufficiently addressed capability in Self-Sovereign Identity (SSI) systems. Building on an existing delegation model that introduced the concept of a Verifiable Mandate (VM) for expressing authority and access rights, this paper extends the approach with a rigorous formalization of delegation semantics, enabling unambiguous reasoning over roles, grants, and constraints. The formal model is aligned with standards from the World Wide Web Consortium (W3C), and its constructs are embedded into an extended credential schema that preserves compatibility with the Verifiable Credentials (VC) data model while introducing delegation-specific attributes. A generalized VM schema is defined, supporting both generic and business-specific instantiations, and ensuring structural and semantic interoperability. Policy compliance is operationalized through a policy-based enforcement architecture, where rules are authored in the Rego language and evaluated at runtime by the Open Policy Agent (OPA). The architecture incorporates trusted registries for schema and policy distribution, allowing verifiers to define and enforce context-specific delegation rules in a modular and interoperable manner. Validation through realistic scenarios, such as postal service and academic use cases, demonstrates how formal semantics, schema validation, and language-based policy enforcement can be combined to enable secure, verifiable, and context-aware delegation in SSI ecosystems. "
"OntoROPA D2: Proposed Design Specification and Approach","https://scispace.com/paper/ontoropa-d2-proposed-design-specification-and-approach-mspwlb5k9cll","2021","Repository","","Casanovas Pompeu
Alvite-Díez, María-Luisa","10.5281/zenodo.4930887","","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Defines an ontology for verifiable credentials and integrates it with legal governance, blockchain, and TEE for a cohesive ecosystem; mentions data standards but lacks a formal mathematical model.","Deliverable 2 of OntoROPA Research Project for NGI ONTOCHAIN (H2020 n° 957338). OntoROPA design specification is focused on a modular, distributed, and ontological approach for the design of two layers—software and data—where each module is the answer to a legal requirement. Data comply with standards for the aim of interoperability, and the design of both layers are subjected to a legal governance scheme, specifically set to harmonize an innovative design for the marketplace within a law, policy, and ethics framework. On top of that, Deliverable 2 explores the possibilities that blockchain technology offers: the use of TEE for secure processing, the use of verifiable credentials with standard certificates for identity management, and the use of oracles for accessing external services. "
"A semantic framework for defining and assessing e-identity management ecosystems based on self-sovereign identity principles","https://scispace.com/paper/_NtNvYA7NqoJ","","","","C Lepore","","https://theses.hal.science/tel-05554605/file/2025TLSES209.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a minimal formal model and ontology for SSI‑based e‑identity, references W3C VC Data Model, but schema language details and full integrated design are less explicit.",""
"A Trust Policy Meta-Model for Trustworthy and Interoperability of Digital Identity Systems","https://scispace.com/paper/a-trust-policy-meta-model-for-trustworthy-and-tpa2d263v69t","","Journal Article","Procedia Computer Science","Dara Tith
Jean-Noël Colin","10.1016/j.procs.2025.02.067","https://www.sciencedirect.com/science/article/pii/S187705092500417X/pdf?md5=1c9d466fd684ad781c848222681057e3&pid=1-s2.0-S187705092500417X-main.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly Relevant: Offers a formal meta‑model for VC trust policies and defines credential concepts/relationships. Somewhat Relevant: Explores ecosystem design without specifying a concrete schema language.",""
"OpenID for Verifiable Credentials: formal security analysis using the Web Infrastructure Model","https://scispace.com/paper/2jzrt7Lh01oJ","","","","F Hauck","","https://elib.uni-stuttgart.de/server/api/core/bitstreams/e4d5fd35-a2df-48d8-9be3-ec42b2c68572/content","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Web Infrastructure Model to formally analyze VC security; mentions JSON‑LD but lacks ontology or full integrated design; no prototype or performance data.",""
"Design Space Exploration of Verifiable Credential Schemas using Partial Graph Modeling","https://scispace.com/paper/d8jZnNm0j3YJ","","","","M Farkas
BZ Péter
I Kocsis","","https://www.inf.u-szeged.hu/~cscs/cscs2024/pdf/cscs2024.pdf#page=36","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses partial graph modeling to formalize VC ecosystem structures; defines graph‑based concepts linking credentials, but lacks explicit schema language, full ontology, and integrated design framework.",""
"Matching Expectations in Ensembles: Connecting Verifiable Credentials and the Semantic Web","https://scispace.com/paper/matching-expectations-in-ensembles-connecting-verifiable-1868w0son3jc","","Journal Article","","Jan Sürmeli
Sergen Yilmaz","10.1007/978-3-031-75107-3_10","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses OWL 2 to define a credential ontology; links ontology to decentralized identity but lacks a formal mathematical model; mentions credential schemas without detailing a concrete schema language.",""
"Might I Get Pwned: A Second Generation Compromised Credential Checking Service","https://scispace.com/paper/http://arxiv.org/abs/2109.14490v2","2021","Preprint","","Bijeeta Pal
Mazharul Islam
Marina Sanusi
Nick Sullivan
Luke Valenta
Tara Whalen
Christopher Wood
Thomas Ristenpart
Rahul Chattejee","","https://arxiv.org/pdf/2109.14490v2","- **Relevance Score:** 16/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on password breach checking, not VC models; includes a deployed prototype, security/privacy analysis, performance results, and real‑world Cloudflare use case.","Credential stuffing attacks use stolen passwords to log into victim accounts. To defend against these attacks, recently deployed compromised credential checking (C3) services provide APIs that help users and companies check whether a username, password pair is exposed. These services however only check if the exact password is leaked, and therefore do not mitigate credential tweaking attacks - attempts to compromise a user account with variants of a user's leaked passwords. Recent work has shown credential tweaking attacks can compromise accounts quite effectively even when the credential stuffing countermeasures are in place. We initiate work on C3 services that protect users from credential tweaking attacks. The core underlying challenge is how to identify passwords that are similar to their leaked passwords while preserving honest clients' privacy and also preventing malicious clients from extracting breach data from the service. We formalize the problem and explore ways to measure password similarity that balance efficacy, performance, and security. Based on this study, we design ""Might I Get Pwned"" (MIGP), a new kind of breach alerting service. Our simulations show that MIGP reduces the efficacy of state-of-the-art 1000-guess credential tweaking attacks by 94%. MIGP preserves user privacy and limits potential exposure of sensitive breach entries. We show that the protocol is fast, with response time close to existing C3 services. We worked with Cloudflare to deploy MIGP in practice."
"Credentials in the Occupation Ontology","https://scispace.com/paper/http://arxiv.org/abs/2405.00186v1","2024","Preprint","","John Beverley
Robin McGill
Sam Smith
Jie Zheng
Giacomo De Colle
Finn Wilson
Matthew Diller
William D. Duncan
William R. Hogan
Yongqun He","","https://arxiv.org/pdf/2405.00186v1","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Offers a comprehensive ontology for occupational credentials, but does not present a formal VC model, schema language, or integrated ecosystem architecture.","The term credential encompasses educational certificates, degrees, certifications, and government-issued licenses. An occupational credential is a verification of an individuals qualification or competence issued by a third party with relevant authority. Job seekers often leverage such credentials as evidence that desired qualifications are satisfied by their holders. Many U.S. education and workforce development organizations have recognized the importance of credentials for employment and the challenges of understanding the value of credentials. In this study, we identified and ontologically defined credential and credential-related terms at the textual and semantic levels based on the Occupation Ontology (OccO), a BFO-based ontology. Different credential types and their authorization logic are modeled. We additionally defined a high-level hierarchy of credential related terms and relations among many terms, which were initiated in concert with the Alabama Talent Triad (ATT) program, which aims to connect learners, earners, employers and education/training providers through credentials and skills. To our knowledge, our research provides for the first time systematic ontological modeling of the important domain of credentials and related contents, supporting enhanced credential data and knowledge integration in the future."
