"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A survey on decentralized identifiers and verifiable credentials","https://scispace.com/paper/a-survey-on-decentralized-identifiers-and-verifiable-3a25dj4phs","2024","Journal Article","arXiv.org","Carlo Mazzocca
Abbas Acar
Selcuk Uluagac
Rebecca Montanari
Paolo Bellavista
Mauro Conti","10.48550/arxiv.2402.02455","https://arxiv.org/pdf/2402.02455","… They were formalized and standardized by the World Wide … of decentralized identity applications; however, its limitation to … In this context, the IOTA Identity framework emerges as a …","Digital identity has always been considered the keystone for implementing secure and trustworthy communications among parties. The ever-evolving digital landscape has gone through many technological transformations that have also affected the way entities are digitally identified. During this digital evolution, identity management has shifted from centralized to decentralized approaches. The last era of this journey is represented by the emerging Self-Sovereign Identity (SSI), which gives users full control over their data. SSI leverages decentralized identifiers (DIDs) and verifiable credentials (VCs), which have been recently standardized by the World Wide Web Community (W3C). These technologies have the potential to build more secure and decentralized digital identity systems, remarkably contributing to strengthening the security of communications that typically involve many distributed participants. It is worth noting that the scope of DIDs and VCs extends beyond individuals, encompassing a broad range of entities including cloud, edge, and Internet of Things (IoT) resources. However, due to their novelty, existing literature lacks a comprehensive survey on how DIDs and VCs have been employed in different application domains, which go beyond SSI systems. This paper provides readers with a comprehensive overview of such technologies from different perspectives. Specifically, we first provide the background on DIDs and VCs. Then, we analyze available implementations and offer an in-depth review of how these technologies have been employed across different use-case scenarios. Furthermore, we examine recent regulations and initiatives that have been emerging worldwide. Finally, we present some challenges that hinder their adoption in real-world scenarios and future research directions."
"Formal Modeling and Verification of Generic Credential Management Processes for Industrial Cyber–Physical Systems","https://scispace.com/paper/formal-modeling-and-verification-of-generic-credential-561i2xkq8mup","2025","Journal Article","IEEE Embedded Systems Letters","Julian Göppert
Axel Sikora","10.1109/les.2025.3598202","","… secure credential management also in resource-constrained … two credential management processes formalized in Section … significant credentials and automated credential provisioning …","Industrial cyber-physical systems (ICPS) face rising cyberattacks, requiring secure credential management also in resource-constrained embedded systems. Standards specifying field level communication of ICPS (e.g., PROFINET or OPC UA) define protocol-specific credential management processes, yet lack formal security verification. We propose a generic model capturing initial security onboarding and automated credential provisioning. Using ProVerif, an automatic symbolic protocol verifier, we formalize certificate-based authentication under a Dolev-Yao adversary, verifying private key secrecy, component authentication, and mutual authentication with the operator domain. Robustness checks confirm resilience against key leakage and highlight the vulnerabilities of the trust on first use concept proposed by the standards. Our model offers the first formal guarantees for secure credential management in ICPS."
"Micro-Credentials: Verification and Validation Challenges in Distributed Educational Ecosystems","https://scispace.com/paper/micro-credentials-verification-and-validation-challenges-in-cwlkpsutot9i","2025","Journal Article","","Islambek Rustambekov","10.1109/tele66816.2025.11212011","","… challenges remain, continued development of both technical standards and implementation approaches can address current limitations to create more inclusive, reliable credential …","This paper examines the growing challenges of verifying and validating micro-credentials within increasingly fragmented educational ecosystems. As traditional educational pathways diversify into modular learning experiences, the need for reliable verification mechanisms becomes critical for workforce mobility and lifelong learning recognition. Through comparative and inductive analysis, this research identifies key vulnerabilities in current micro-credential systems and proposes a conceptual framework for a multi-layered validation infrastructure. The proposed approach integrates interoperable verification protocols, distributed ledger technologies, and reputation-based validation mechanisms to establish trust across educational institutions, employers, and learners. The framework addresses fundamental challenges including standardization gaps, informal learning validation, and credential falsification risks. While implementation barriers exist related to scalability and cross-cultural acceptance, the multi-faceted validation ecosystem outlined offers promising pathways toward a more flexible, secure recognition system for modular qualifications. The establishment of trusted microcredential ecosystems could significantly enhance labor market efficiency by enabling precise skill verification while democratizing access to recognized qualifications beyond traditional academic institutions."
"Towards a trusted national identities framework","https://scispace.com/paper/towards-a-trusted-national-identities-framework-o998u26547","2013","Journal Article","Info","Joseph K. Adjei","10.1108/14636691311296200","https://www.researchgate.net/profile/Joseph-Adjei/publication/262963218_Towards_a_trusted_national_identities_framework/links/5be9a18892851c6b27ba2d4a/Towards-a-trusted-national-identities-framework.pdf","… Research limitations/implications – Even though this study … how a trust framework could be crafted to make the identity … and credentials are for physical verification, by the credential …","Purpose – The aim of this paper is to present a qualitative study on implementation of trusted identity management systems. Identity management and assurances in developing countries generates a lot of controversy and challenges for society and this study was set out to design model for trusted identities framework.Design/methodology/approach – Trusted identities framework from a societal perspective is a multi‐stakeholder issue and hence a qualitative research method was deemed appropriate given that it provides opportunities for engagement of stakeholders from different avenues. The use of a stakeholder forum offered a good opportunity for interested parties to raise their issues and get responses. The interviews were also a means of getting clarifications and also offered those not comfortable in public speaking to make their point.Findings – The study made the following interesting findings: that trusted identities depend on institutional collaboration, user empowerment, system quality, information qu..."
"Decentralized identity verification via smart contract validation: Enhancing PKI systems for future digital trust","https://scispace.com/paper/decentralized-identity-verification-via-smart-contract-4z9m9yqweb","2024","Journal Article","","Saurav Bhattacharya
Madhavi Najana
Anirudh Khanna","10.21428/e90189c8.93f690d2","","… overcome these limitations by decentralizing trust and improving … , and user-centric digital trust framework. By automating the … identity verification services or utilizing verified credentials …",""
"Mapping requirements specifications into a formalized blockchain-enabled authentication protocol for secured personal identity assurance","https://scispace.com/paper/mapping-requirements-specifications-into-a-formalized-32pezhcqr5","2017","Book Chapter","","Benjamin Leiding
Alex Norta","10.1007/978-3-319-70004-5_13","https://www.researchgate.net/profile/Alex-Norta/publication/319302321_Mapping_Requirements_Specifications_into_a_Formalized_Blockchain-Enabled_Authentication_Protocol_for_Secured_Personal_Identity_Assurance/links/59a1c46aa6fdcc1a314d5e21/Mapping-Requirements-Specifications-into-a-Formalized-Blockchain-Enabled-Authentication-Protocol-for-Secured-Personal-Identity-Assurance.pdf","… The Authcoin protocol is formalized using Colored Petri Nets … We formalize Authcoin using Colored Petri Nets and an agent… Moreover, we acknowledge and discuss the limitations of the …","The design and development of novel security and authentication protocols is a challenging task. Design flaws, security and privacy issues as well as incomplete specifications pose risks for its users. Authcoin is a blockchain-based validation and authentication protocol for secure identity assurance. Formal methods, such as Colored Petri Nets (CPNs), are suitable to design, develop and analyze such new protocols in order to detect flaws and mitigate identified security risks. In this work, the Authcoin protocol is formalized using Colored Petri Nets resulting in a verifiable CPN model. An Agent-Oriented Modeling (AOM) methodology is used to create goal models and corresponding behavior models. Next, these models are used to derive the Authcoin CPN models. The modeling strategy as well as the required protocol semantics are explained in detail. Furthermore, we conduct a state-space analysis on the resulting CPN model and derive specific model properties. The result is a complete and correct formal specification that is used to guide future implementations of Authcoin."
"Trust me if you can: Trusted transformation between (json) schemas to support global authentication of education credentials","https://scispace.com/paper/trust-me-if-you-can-trusted-transformation-between-json-2vqg0cc6re","2021","Book Chapter","Information Security","Stefan More
Peter Grassberger
Felix Hörandner
Andreas Abraham
Lukas Daniel Klausner","10.1007/978-3-030-78120-0_2","https://arxiv.org/pdf/2106.12793","… system to automatically verify the legitimacy of issuers and interpret credentials in unknown … to transform credentials into their preferred schema. Due to the lack of a global root of trust, …","Recruiters and institutions around the world struggle with the verification of diplomas issued in a diverse and global education setting. Firstly, it is a nontrivial problem to identify bogus institutions selling education credentials. While institutions are often accredited by qualified authorities on a regional level, there is no global authority fulfilling this task.Secondly, many different data schemas are used to encode education credentials, which represents a considerable challenge to automated processing. Consequently, significant manual effort is required to verify credentials."
"ENHANCING TRUST IN EMPLOYMENT VERIFICATION THROUGH SELF-SOVEREIGN IDENTITY AND DISTRIBUTED LEDGER TECHNOLOGY","https://scispace.com/paper/C2OLftVcGaAJ","","","","RO OTIENO","","https://projekter.aau.dk/projekter/files/784684237/MASTERS_THESIS_.pdf","… into Verifiable Credentials (VCs) and defines a trust model that … A trust framework will be established based on DIDs and … more competitive, formalized hiring frameworks have emerged, …",""
"A Self-Sovereign Identity Framework for Context-Aware De-Centralized Identifier Creation and Credential Verification","https://scispace.com/paper/a-self-sovereign-identity-framework-for-context-aware-de-fapxd8s7zd7d","2025","Journal Article","Engineered science","Shailaja Nitin Lohar
Sachin D. Babar
Parikshit N. Mahalle","10.30919/es1629","https://www.espublisher.com/uploads/article_pdf/es1629.pdf","… The motivation for this work stems from the serious security and privacy limitations of existing centralized identity systems. Centralized models are prone to single points of failure, where …",""
"A novel zero-trust identity framework for agentic AI: Decentralized authentication and fine-grained access control","https://scispace.com/paper/a-novel-zero-trust-identity-framework-for-agentic-ai-t1cc4oo3mpzj","2025","Journal Article","arXiv.org","Ken Huang
Vineeth Sai Narajala
John Yeoh
Ramesh Raskar
Youssef Harkati
Jerry Huang
Idan Habler
Chris Hughes","10.48550/arxiv.2505.19301","https://arxiv.org/pdf/2505.19301","… AI - IAM framework: We deconstruct the limitations of existing … rely on OAuth 2.0 client credentials flows to authenticate to … • Trust Frameworks: Policies defining how trust is evaluated (…",""
