"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Alloy4SPV: A Formal Framework for Software Process Verification","https://scispace.com/paper/alloy4spv-a-formal-framework-for-software-process-1tzslm3y3n","2014","Book Chapter","European Conference on Modelling Foundations and Applications","Yoann Laurent
Reda Bendraou
Souheib Baarir
Marie-Pierre Gervais","10.1007/978-3-319-09195-2_6","https://scispace.com/pdf/alloy4spv-a-formal-framework-for-software-process-1tzslm3y3n.pdf","In this paper we present a framework for software process verification called Alloy4SPV which uses a subset of UML2 Activity Diagrams as a process modeling language. In order to achieve software process verification, we i) define a formal model of our process modeling language using first-order logic, ii) we give it a formal semantics based on the fUML standard, and iii) we implement this formalization using the Alloy language [1]. In order to ease its adoption by process modelers, our framework comes with a graphical tool and a ready to use and customizable set of software process properties. We categorize these properties into two categories, syntactical and behavioral. We extend the set of behavioral properties we identified from the literature with two new categories that we defined, namely, organizational properties which relate to resource management and planning during process execution and business properties which are project/process specific properties.","in . To be able to reason about each dimension of the process, the formalization covers both control and data-flow of the process through the use of the AD notations, and takes into account the associated organizational data such as resources and timing constraints. Formal verification of software processes:
 3.1 Alloy: a language and tool for relational models Using our formalization , the next step is to choose an implementation language. Alloy  was chosen for this purpose. Alloy is a formal language, which has been applied to modelling of systems in a wide range of application domains. It is supported by the Alloy Analyzer, a tool, which allows fully automated analysis through SAT solving. Hereunder, we highlight the valuable points that motivated our choice for Alloy: Formal verification of software processes:
 -It supports a wide variety of properties such as invariants, user-defined assertions, LTL  and CTL formulas with fairness constraints . -It is expressive enough to represent a UML-based model associated with OCL constraints . -Alloy's logic is quite generic and does not enforce the user to a particular specification style for modeling and verifying reactive systems. -It allows one to choose the on-the-shelf SAT-solvers (MiniSat, ZChaff,...). Formal verification of software processes:
 -It owns a graphical tool as well as an API to integrate seamlessly the verification into a process environment. Formal verification of software processes:
 The Alloy language provides a set of concepts allowing to specify elements and constraints using the notions of signatures, relations, facts and predicates. A signature (sig) defines a set of idioms and relationships between them. They are similar to type declarations in an object-oriented language, and represent the basic entities. Facts (fact) are statements that specify constraints about idioms and relationships. These statements must always hold; they are close to the concept of invariants in other specification languages. Predicates (pred), as opposed to facts, define constraints which can evaluate to true or false. Alloy provides two commands to run the Alloy Analyzer: run and check. Command run instructs the analyzer to search for an instance satisfying a given formula, and check attempts to contradict a formula by searching for a counter-example. This section presents our framework based on the concepts presented so far. We present the high-level overview of our approach and introduce how to represent the different concepts of the software process using the Alloy language in order to enable their automatic verification. Then, we introduce the tool built on top of our framework. High-level overview:
 Alloy4SPV is the name of our framework enabling software process verification. This framework is based on our fUML formalization and is implemented using different Alloy modules. Figure  shows an overview of the workflow to achieve the process verification using Alloy4SPV within a Process-centered Software Engineering Environments (PSEE). It takes a Process Model in the form of UML2 AD as input. The Properties View allows the process modelers to select and express properties through a graphical interface. The Process View displays the results about the verification."
"Formal validation of domain-specific languages with derived features and well-formedness constraints","https://scispace.com/paper/formal-validation-of-domain-specific-languages-with-derived-2mll6xudnj","2017","Journal Article","Software and Systems Modeling","Oszkár Semeráth
Ágnes Barta
Ákos Horváth
Zoltán Szatmári
Dániel Varró","10.1007/S10270-015-0485-X","https://scispace.com/pdf/formal-validation-of-domain-specific-languages-with-derived-2mll6xudnj.pdf","Despite the wide range of existing tool support, constructing a design environment for a complex domain-specific language (DSL) is still a tedious task as the large number of derived features and well-formedness constraints complementing the domain metamodel necessitate special handling. Such derived features and constraints are frequently defined by declarative techniques (such graph patterns or OCL invariants). However, for complex domains, derived features and constraints can easily be formalized incorrectly resulting in inconsistent, incomplete or ambiguous DSL specifications. To detect such issues, we propose an automated mapping of EMF metamodels enriched with derived features and well-formedness constraints captured as graph queries in EMF-IncQuery or (a subset of) OCL invariants into an effectively propositional fragment of first-order logic which can be efficiently analyzed by back-end reasoners. On the conceptual level, the main added value of our encoding is (1) to transform graph patterns of the EMF-IncQuery framework into FOL and (2) to introduce approximations for complex language features (e.g., transitive closure or multiplicities) which are not expressible in FOL. On the practical level, we identify and address relevant challenges and scenarios for systematically validating DSL specifications. Our approach is supported by a tool, and it will be illustrated on analyzing a DSL in the avionics domain. We also present initial performance experiments for the validation using Z3 and Alloy as back-end reasoners.","that features evaluate to the value exactly when the specifying pattern has a match on the given object and the value. The predicate for DF type looks like this: Check expression: pattern feature (src, trg) ⇔ link feature (src, trg) Transforming OCL Invariants to FOL:
 OCL constraints (invariants) are widely used means to express well-formedness rules of DSLs which has to be satisfied by all valid instance models. Here we present a transformation from a subset of OCL invariants to FOL. As a result, DSL validation tasks (e.g. consistency check, subsumption check) can be executed even when certain WF constraints are defined by graph patterns while others are captured by OCL invariants. This is a very practical setup to allow DSL engineers to mix specification languages. Transforming OCL Invariants to FOL:
 While there are existing OCL-to-FOL transformations (e.g. ) which cover a larger portion of the OCL language (and its semantic cornercases), our technique allows to detect inconsistencies between WF constraints with different representations (OCL vs GP) and allows to reason about subsumption or equivalence of such constraints. Furthermore, the combined use of our rich partial snapshot language and OCL invariants also allows to gain additional insight into DSL specifications. Finally, we also introduce approximations for certain OCL language elements. An overview of OCL transformation:
 The syntax of an OCL invariant expression is presented in the template below, where context specifies the environment (e.g. class) on which the constraint is interpreted, the name of the constraint can be given after the inv keyword and finally the expression is specified. context classif ier inv [ name ]: expression:
 Our transformation takes an OCL invariant as input and synthesizes FOL formulae as output. Certain OCL language elements are too expressive to be represented in FOL, but they can be approximated by appropriate FOL formulae. Each supported language element is presented in this subsection. context classif ier inv [ name ]: expression:
 The OCL standard defines a four valued logic (with true, false, null and undefined values), while we mostly restrict our mapping to a two-valued logic and the null is also supported as input of the comparison operators. context classif ier inv [ name ]: expression:
 The structure of an OCL invariant is similar to its FOL counterpart, so the mapping algorithm transforms the elements explicitly, one-by-one to FOL formulae. context classif ier inv [ name ]: expression:
 The mapping algorithm traverses the abstract syntax tree (AST) of the OCL invariant recursively and applies the corresponding rules to each subexpression element. However, there are some special cases which require pre-or post-processing the result, e.g. for comparison functions, null references and collection operators. The mapping also handles a restricted set of higher-order structures (like sets) which structures are unfolded and represented by FOL predicates. Basic expressions:
 The mapping rules of the basic expressions (primitivetype, simple arithmetic and bool expression and variable) of OCL are depicted in Table . In OCL, we cover the primitive types Integer, Boolean and Real, while the String types is not yet supported. The logic and arithmetic operators are directly transformed to FOL, since they have their equivalent counterpart in the FOL if they are interpreted on Integers, Reals and Booleans."
"Verification of Model Transformations to Refactoring Mobile Social Networks","https://scispace.com/paper/verification-of-model-transformations-to-refactoring-mobile-4t2m35i340","2011","Journal Article","Electronic Communication of The European Association of Software Science and Technology","Márk Asztalos
Peter Ekler
László Lengyel
Tihamér Levendovszky","10.14279/TUJ.ECEASST.32.542","https://scispace.com/pdf/verification-of-model-transformations-to-refactoring-mobile-4t2m35i340.pdf","Verification of model processing programs, where only the definitions of the program and the languages of the models to be transformed are analyzed, has become a fundamental issue in model-based software engineering. This analysis may become very complex, but it is performed only once and the results are independent from concrete input models. The formal background of verification methods for graph rewriting-based model transformations has become a subject of research recently. In previous work, we have provided fundamental formal and algorithmic background of a (semi-)automated verification approach for graph transformations. This work concludes these components and put them together to introduce the implementation of a verification system fully integrated into a model transformation framework, VMTS. The strong points of our approach is its usability, its implementation in an existing tool, and its extendibility, which are demonstrated on a case study in the application domain of mobile centric social networks. Our results show that the verification of graph rewriting-based model transformations can be largely automated.","for the classes of constraints considered, showing their soundness and completeness. In , the authors introduce a formalism to describe a model transformation in a declarative way, hereby, verification of soundness conditions can be performed using an interactive theorem prover. Related Work:
 AGG  supports a consistency control mechanism which is able to check if a given graph satisfies certain consistency conditions specified for a graph grammar. Our approach does not rely on graph grammars with a specific start graph, but on a control flow-based ordering of rules. Consistency conditions describe basic properties of graphs as e.g. the existence of certain elements, independent of a particular rule. A graph grammar is consistent if the start graph satisfies the consistency conditions and the rules preserve this property. GROOVE  is also a tool to analyze consistency constraints on models and graph transformation systems. The language to specify these constraints is similar to MCDL, however, in this tool, the consistency checking rather resembles to validation methods, i.e. the output of specific input models are analyzed.  presents an approach similar to ours: UML metamodels along with embedded well-formedness rules (typically OCL constraints) can be translated to the formalism Alloy. Then the Alloy Analyzer can conduct fully automated analysis of the transformation. The difference between our approach and the one presented in the paper is that the Alloy Analyzer uses a simulation that generates a random instance model of the input metamodel, then analyzes the behavior of the transformation by transforming this instance model.  presents a mathematical background for the analysis of model transformations. Similarly to our approach, [LBA10] also formalizes metamodels, models, and structural properties of the transformed models. Their implemented model transformation framework can validate certain type of properties by construction, because of several constraints of the control structure that is used to determine the execution order of the rules. Related Work:
 ECEASST believe that our approach can provide the basis for industrial model transformation verification methods. Conclusions:
 In this paper, we have outlined a formal, automated framework for the verification of graph rewriting-based model transformations. We have presented how the components of the framework work together in an implementation of our verification methods in a modeling tool, VMTS. We have demonstrated the usability of our methods on a case study of the verification of refactoring mobile-centric social network models. We provided a summary of the main advantages and disadvantages of our approach. In future work, we would like to complete the formalism behind each of presented components of our solution, and present more complex case studies. We Acknowledgements: This paper was supported by the János Bolyai Research Scholarship of the Hungarian Academy of Sciences. This work is connected to the scientific program of the ""Development of quality-oriented and harmonized R+D+I strategy and functional model at BUTE"" project. This project is supported by the New Hungary Development Plan (Project ID: T ÁMOP-4.2.1/B-09/1/KMR-2010-0002)."
"Sistema de verificación de componentes software","https://scispace.com/paper/sistema-de-verificacion-de-componentes-software-1zyu52cvhw","2002","Dissertation","","Agustín Cernuda del Río","","https://scispace.com/pdf/sistema-de-verificacion-de-componentes-software-1zyu52cvhw.pdf","Esta tesis se inscribe en el campo de la Ingenieria de Software, y describe
un sistema de verificacion de componentes software que va mas alla de la
mera compatibilidad de signaturas, proporcionando un marco en el que realizar
verificaciones de otros tipos, Apoyandose en la Programacion Logica con
Restricciones y la Gestion del Conocimiento, ofrece un metodo viable (desde
un punto de vista tanto tecnico como de adopcion y transferencia tecnologica)
para realizar una verificacion que permita asegurar de manera estatica,
automatica y asequible que, basandose en el conocimiento disponible, cierta
combinacion de componentes no viola las condiciones de funcionamiento correcto
de ninguno de ellos. El metodo es los suficientemente general como para
ser aplicado a muy diversos ambitos y problemas del desarrollo de software.","cuestiones ""cotidianas"" del desarrollo. El uso de lenguajes de modelado de propósito específico ha fragmentado notablemente la comunidad que se dedica a la investigación de la evaluación analítica de arquitecturas. Flexibilidad:
 Esta especificidad, en parte, aleja WRIGHT y lenguajes similares de nuestros objetivos de viabilidad. Las posibilidades de análisis estático de un ADL estarían limitadas de antemano a ciertos tipos de comprobaciones, y el desarrollo de verificaciones sobre aspectos completamente nuevos podría requerir una ampliación de la teoría en la que se basa el ADL, lo que claramente no es operativo. Nuestra tesis plantea la necesidad de un sistema de verificación homogéneo, abierto, cuya aplicación resulte rentable precisamente por su simplicidad y facilidad de explotación según las necesidades que surjan en el desarrollo. Si se examina el modelo de UniCon, por poner otro ejemplo, se verá que los tipos de entidades que se manejan están claramente establecidos, y esto puede resultar un factor limitador para aplicaciones del modelo en otros niveles de abstracción. Notación y asequibilidad:
 En algunos ADLs existen también problemas de notación (de cara a ser utilizados en esta tesis, se entiende). La notación utilizada en WRIGHT se basa en CSP, y en concreto las verificaciones de consistencia se apoyan en el concepto de refinamiento de procesos de CSP, lo que añade un nuevo ingrediente de complejidad a WRIGHT. En otros puntos de este documento (véase 3.2.1) se mencionan algunos de los problemas que plantean los métodos formales en general, y la notación de WRIGHT puede considerarse afectada por los mismos problemas que otros métodos formales. Conclusión:
 Como conclusión, los lenguajes de descripción de arquitecturas se acercan, en cierta medida, al propósito de esta tesis, pero sus objetivos no son los mismos, y esto hace que no sean soluciones adecuadas debido a su relativa falta de flexibilidad, complejidad y alto grado de formalismo. Metodologías de análisis y diseño OCL (Object Constraint Language):
 Respecto a OCL, también existe una coincidencia parcial de objetivos, y por eso se incluye en la revisión de tendencias del capítulo 2. Pero no constituye un precedente de resolución de esta tesis."
"A model driven engineering approach to build secure information systems","https://scispace.com/paper/a-model-driven-engineering-approach-to-build-secure-30hiyfwfic","2017","Dissertation","","Thi Xuan Mai Nguyen","","https://scispace.com/pdf/a-model-driven-engineering-approach-to-build-secure-30hiyfwfic.pdf","Nowadays, organizations rely more and more on information systems to collect, manipulate, and exchange their relevant and sensitive data. In these systems, security plays a vital role. Indeed, any security breach may cause serious consequences, even destroy an organization's reputation. Hence, sufficient precautions should be taken into account. Moreover, it is well recognized that the earlier an error is discovered, the easier and cheaper it is debugged. The objective of this thesis is to define adequate security policies since the early development phases and ensure their correct deployment on a given technological infrastructure. Our approach starts by specifying a set of security requirements, i.e. static and dynamic rules, along with the functional aspect of a system based on the Unified Modeling Language (UML). Fundamentally, the functional aspect is expressed using a UML class diagram, the static security requirements are modeled using SecureUML diagrams, and the dynamic rules are represented using secure activity diagrams. We then define translation rules to obtain B specifications from these graphical models. The translation aims at giving a precise semantics to these diagrams, thus proving the correctness of these models and verifying security policies with respect to the related functional model using the AtelierB prover and the ProB animator. The obtained B specification is successively refined to a database-like implementation based on the AOP paradigm. The B refinements are also proved to make sure that the implementation is correct with respect to the initial abstract specification. Our translated AspectJ-based program allows separating the security enforcement code from the rest of the application. This approach avoids scattering and tangling the application's code, thus it is easier to track and maintain. Finally, we develop a tool that automates the generation of the B specification from UML-based models and of the AspectJ program connected to a relational database management system from the B implementation. The tool helps disburden developers of the difficult and error-prone task and improve the productivity of the development process","paragraphs in the Alloy specification of RBAC96: the domain paragraph specifies RBAC entities, and the state paragraph describes the relations between entities. This specification also includes formulas expressing RBAC constraints, such as SoD (the conflictRoleRule invariant). State of The Art:
 This work provided a more complete RBAC specification than that defined in . In addition, it demonstrated the capacity of Alloy in (1) verifying the correctness of different RBAC implementations, (2) checking the consistency among entities, relations and constraints of the RBAC schema, and (3) searching for a plausible instance of the schema. These verifications are done using the Alloy Constraint Analyzer. State of The Art:
 Hu and Ahn  presented a framework, so-called Assurance Management Framework (AMF) (Figure .11), for the formal verification and the test cases generation of RBAC models. In AMF, core RBAC and constraints are formalized in Alloy. Essentially, basic RBAC elements and relations are defined as sets, including a set of roles, a set of users, a set of permissions, a set of userrole, a set of role-permissions, etc. The primary representation of the RBAC model in Alloy is defined as follows:  By running the Alloy Analyzer, one can verify the compliance of the access control specifications with respect to the selected security properties. The conformance testing is then automatically derived from the security formal specification. The obtained test cases are used to compare the actual system implementation to the expected result derived from the formal specification. In addition to the above features, the framework also supports the automatic generation of the security enforcement code in the Java language using the RAE tool . Z-based Approaches:
 Boswell  demonstrated the use of Z to develop a security policy model for NATO AIR Command and Control System. Nonetheless, this work covers only the mandatory and discretionary access controls, but it does not support the RBAC model. On the other hand, the validation of the security model is performed manually to produce informal arguments which could ensure a suitable Z-based Approaches:
 State of The Art level of confidence. In , Morimoto et al. proposed a Z-based technique for specifying and verifying security properties with respect to the ISO/IEC 15408 common criteria. They also developed a verification process for security properties by using the theorem prover Z/EVES. The process consists of four steps: 1) select the formalized criteria (defined in the ISO/IEC 15408 common criteria) required in a target system; 2) formalize the specifications of the target system in Z; 3) instantiate the selected criteria templates; 4) verify the formalized specifications against the instantiated criteria. Using this process, it is possible to check whether the specifications meet the security criteria of the Common Criteria."
"Automated Verification Of Role-Based Access Control Policies Constraints Using Prover9","https://scispace.com/paper/automated-verification-of-role-based-access-control-policies-20civsrawz","2015","Journal Article","","Khair Eddin Sabri","10.5121/IJSPTM.2015.4101","https://scispace.com/pdf/automated-verification-of-role-based-access-control-policies-20civsrawz.pdf","Access control policies are used to restrict access to sensitive records for authorized users only. One approach for specifying policies is using role based access control (RBAC) where authorization is given to roles instead of users. Users are assigned to roles such that each user can access all the records that are allowed to his/her role. RBAC has a great interest because of its flexibility. One issue in RBAC is dealing with constraints. Usually, policies should satisfy pre-defined constraints as for example separation of duty (SOD) which states that users are not allowed to play two conflicting roles. Verifying the satisfiability of constraints based on policies is time consuming and may lead to errors. Therefore, an automated verification is essential. In this paper, we propose a theory for specifying policies and constraints in first order logic. Furthermore, we present a comprehensive list of constraints. We identity constraints based on the relation between users and roles, between roles and permission on records, between users and permission on records, and between users, roles, and permission on records. Then, we use a general purpose theorem prover tool called Prover9 for proving the satisfaction of constraints.","Authors: Khair Eddin Sabri Keywords: Role-Based Access Control, Constraints, Formal Verification, First Order Logic, Prover9"
"Ensuring spatio-temporal access control for real-world applications","https://scispace.com/paper/ensuring-spatio-temporal-access-control-for-real-world-cdy9pt5sx1","2009","Proceedings Article","Symposium on Access Control Models and Technologies","Manachai Toahchoodee
Indrakshi Ray
Kyriakos Anastasakis
Geri Georg
Behzad Bordbar","10.1145/1542207.1542212","https://scispace.com/pdf/ensuring-spatio-temporal-access-control-for-real-world-cdy9pt5sx1.pdf","Traditional access control models, such as Role-Based Access Control (RBAC), do not take into account contextual information, such as location and time, for making access decisions. Consequently, they are inadequate for specifying the access control needs of many complex real-world applications, such as the Dengue Decision Support (DDS) that we discuss in this paper. We need to ensure that such applications are adequately protected using emerging access control models. This requires us to represent the application and its access control requirements in a formal specification language. We choose the Unified Modeling Language (UML) for this purpose, since UML is becoming the defacto specification language in the software industry. We need to analyze this formal specification to get assurance that the application is adequately protected. Manual analysis is error-prone and tedious. Thus, we need automated tools for verification of UML models. Towards this end, we propose that the UML models be converted to Alloy. Alloy is based on first-order logic, has a software infrastructure that supports automated analysis, and has been used for the verification of real-world applications. We show how to convert the UML models to Alloy and verify the resulting model using the Alloy Analyzer which has embedded SAT-solvers. The results from the Alloy Analyzer will help uncover the flaws in the specification and help us refine the application and its access control requirements.","do so and the spatio-temporal constraints associated with the permissions are satisfied. The model also supports the spatio-temporal role hierarchies and separation of duties constraints. In a subsequent work , we extend the model to support the delegation operation. RELATED WORK:
 A lot of work also appears in the area of analysis of security policies. Researchers have used formal logic for specifying authorization policies so that they can be analyzed. Many works appear that attempt to analyze RBAC specifications. Some have used the Z modeling language for specifying RBAC  and LRBAC . Although Z language can represent RBAC and its constraints in a formal manner, the language itself lacks the tool to support the automated analysis of the formalized model. Others have used an extension of the Unified Modeling Language (UML)  called parameterized UML to visualize the properties of RBAC constraints. The model describes how one can visualize the conflicts that may occur within RBAC constraints. However, it lacks the ability to perform automated model analysis. RELATED WORK:
 ALLOY  is a textual language developed at MIT by Daniel Jackson and his team. Alloy is a fully declarative firstorder logic language designed for modeling and analyzing complex systems. Alloy is supported by a fully automated constraint solver, called Alloy Analyzer, which allows analysis of system properties by searching for instances of the model. Alloy has been used in the verification of real world systems and protocols . RELATED WORK:
 Bordbar et al. propose UML2Alloy , a tool to automatically transform UML model to Alloy specification. The transformation makes use of Model Driven Architecture (MDA)  techniques for defining and implementing the transformations from models captured in the UML class diagram and OCL into Alloy. The theoretical foundations and the challenges incurred in doing this transformation appear in one of our more recent works . RELATED WORK:
 Researchers have also advocated the use of Alloy for modeling RBAC specifications. Schaad et al.  model user-role assignment, role-permission assignment, role hierarchy, and static separation of duties features of RBAC extension using Alloy. The authors do not model role activation hierarchy or the dynamic separation of duties. The authors briefly describe how to analyze conflicts in the context of the model. Zao et al.  model basic features of RBAC, role hierarchy, and static separation of duties in Alloy. RELATED WORK:
 Hu and Ahn  propose an Enhanced Assurance Management Framework to verify and test the access control system. In this work, the authors provide algorithms to show how RBAC models can be specified in Alloy. The Alloy Analyzer will automatically analyze this model to ensure the correctness of the access control specification. Later, the test cases generated from the verified model will be used to perform a conformance testing, where the actual result from model implementation will be compared with the expected result derived from the formal specification. Our work focuses on automated translations of UML specifications to Alloy. We use OCL for specifying constraints instead of using a specialized constraint language RCL2000. Our biggest difference is in describing how the spatio-temporal aspects can be verified using Alloy."
"Proceedings of the 2nd Workshop on Quality in Modeling","https://scispace.com/paper/proceedings-of-the-2nd-workshop-on-quality-in-modeling-45opcdy80t","2007","","","Ludwik Kuzniarz
Jean Louis Sourrouille
Miroslaw Staron","","https://scispace.com/pdf/proceedings-of-the-2nd-workshop-on-quality-in-modeling-45opcdy80t.pdf","Preface Quality constitutes an important topic in software engineering and becomes an essential issue in studies on using models in software engineering. Software quality management is already wide ...","manually for specific needs. For instance, a team member may decide to keep watch on a particular set of rules. Within rule packages, flags signal rules not to check temporarily. • The verification is directed by configurations and results in messages and actions. Architecture and Process:
 When the checking result is failed, data about the related rule and model elements are displayed. According to the rule, several choices are offered: to annotate the model with a tag, to invalidate the rule either in the configuration or in the model, to automatically correct the model. Let us take an example to show the verification process for the rule ""All initial stimuli (triggers) of a use case come from the same actor"". When no trigger is specified (Fig. ), checking results in a warning, assuming that the developer does not still complete the model. When two triggers are specified (Fig. ), checking results in an error because two actors trigger the use case. Architecture and Process:
 In this particular case, the same rule has two diagnosis according to the number of triggers: 0 is a warning, and greater than 1 an error. More generally, a rule can check several properties of an element. Diagnoses avoid several descriptions of the same rule, but each diagnosis holds its own message, gravity, correction, etc. Implementation:
 To check easily the rules and to aid correction, the style guide is embodied in an IDE tool that supplies all the required services for a quicker implementation (the implementation is an ongoing work, we choose to implement on top of Eclipse). The integration into one tool reduces the cost of training and use, and simplifies the checking process. We need plug-in extensions to check rules, to manage errors, to manage configurations, and to manage corrections using model transformations, but the tricky point is rule description. The style guide implementation should provide a set of common built-in rules that users may select through customized configurations. The proposed user interface allows specifying the rules. This section focuses on this interface aiming to hide the trickiest aspects of OCL. Implementation:
 To provide a simplified description of constraints in OCL while keeping the same expressive power is difficult. Our approach is a compromise: the simpler constraints are specified through the provided interface, while the remaining ones are to write directly in OCL. The main form of the user interface (Fig. ) provides fields to define rules, which allows to expressing a subset of all the possible OCL expressions. We illustrate the description interface with the rule: ""Each connected element in a white box sequence diagram should be either a port or an instance of a class"". An equivalent expression using quasi-natural language could be: ""For any element e in a white box sequence diagram, for any connected element e, either e is a Port or e is an instance of a class"". The later expression is close to first-order logic and its structure fits well with our generic input form that reads as follow:"
"Formalization of web security patterns","https://scispace.com/paper/formalization-of-web-security-patterns-4ui5mxsysm","2015","Journal Article","INFOCOMP Journal of Computer Science","Ashish Kumar Dwivedi
Santanu Kumar Rath","10.18760/IC.14120152","https://scispace.com/pdf/formalization-of-web-security-patterns-4ui5mxsysm.pdf","Security issues in software industries become more and more challenging due to malicious attacks and as a result, it leads to exploration of various security holes in software system. In order to secure the information assets associated with any software system, organizations plan to design the system based on a number of security patterns, useful to build and test new security mechanisms. These patterns are nothing but certain design guidelines. But they have certain limitations in terms of consistency and usability. Hence, these security patterns may sometimes act as insecure. In this study, an attempt has been made to compose security patterns for the web-based application. Subsequently, a formal modeling approach for the composition of security patterns is presented. In order to maximize comprehensibility, Unified Modeling Language (UML) notations are used to represent structural and behavioral aspects of a web-based system. A formal modeling language i.e., Alloy has been taken into consideration for analyzing web-based security pattens. For the demonstration of this approach, a case study i.e., an online banking system is considered. A qualitative evaluation is performed for the identified security patterns against the critical security properties. In this study a model-driven framework is presented, which helps to automate the process of analyzing web security patterns.","the different operations, such as transfer fund, check service, bill payment etc. for the example of online banking system. This assertion generates counterexamples, which are helpful to explain the intricacies properties. Non-repudiation Repudiation Secure Proxy Evaluation of Security Patterns with security properties:
 The evaluation of these security properties, such as confidentiality, integrity, availability, authentication, authorization, and non-repudiation against the identified patterns, such as Single Sign On (SSO), Check Point, Authenticator, Policy, Secure Proxy are presented in Table . SSO provides a single login screen to all external entities of the system, which helps the system to trace the unusual requests by maintaining the availability of the system for other entities. Check Point ensures the confidentiality of system by authenticating the user and it also enforces certain security policies. Even it tries to penalize the user for violating security policies. Authenticator, Policy, and Secure Proxy maintain the in-tegrity of a system. Authenticator is helpful to preserve the Authentication and Authorization properties. Nonrepudiation can be maintained with the help of Secure Proxy. Mapping Web Security Patterns into Formal notation: An MDA based Approach:
 A model driven architecture (MDA) uses the concept of metamodel that represents its elements and their relationships. The MDA approach is mainly used to perform model transformation Multiplicity Cardinality:
 In this study web security requirements are verified using assertion, fact, and predicates that provide a security verification framework for the other similar types of system. The behavioral aspect of security patterns are also analyzed that support run time verification of a system. Conclusion:
 Security design patterns reuse effective software design experience on solving critical security related problems. Patterns, with good error detection and correction ability, lower data redundancy, and easy implementation are useful for the system. In this study, an attempt has been made to systematically present a modeling approach to the formalization of security design patterns. This approach captures both structural and behavioral aspects that specify variants using formal modeling language Alloy. It consists of modeling of the composition of security patterns using UML notations. A formal approach is considered for analyzing critical security requirements in order to analyze it. For the automated verification (model checking) process, Alloy Analyzer is considered. In the process of model checking, analysis is a form of constraint solving. Analysis can disclose subtle flaws that software architect might not have discovered until much later. Alloy is considered for modeling security patterns, because it provides a compact model that allows the verification of structural and behavioral properties of a system. Alloy makes it more logical for checking security problems in software design and provides security assurance. In this study, a model driven approach is considered, that helps to map security patterns specified in UML notation into a formal notation. Some guidelines are presented to specify the behavior of security patterns. These guidelines are useful to check the inconsistencies and ambiguities among these security patterns. The advantage of this study lies in its simple demonstration of security requirements, formal specification of these security requirements, and evaluation of security properties along with necessary security patterns. This methodology can further be extended by analyzing security patterns using ontology based modeling technique."
"Maintien de la cohérence entre les architectures pour une gestion autonomique de systèmes pervasifs","https://scispace.com/paper/maintien-de-la-coherence-entre-les-architectures-pour-une-187kc739p1","2015","","","Stephanie Chollet
Philippe Lalanda
Catherine Hamon","","https://scispace.com/pdf/maintien-de-la-coherence-entre-les-architectures-pour-une-187kc739p1.pdf","L’informatique orientee service est devenue tres populaire ces dernieres annees, en particulier pour traiter des environnements dynamiques et imprevisibles Cependant, cette nouvelle approche souleve de serieux problemes au niveau de l’administration et de la maintenance des systemes Dans cet article, nous developpons une proposition ou les architectures logicielles de conception et d’execution sont utilisees pour gerer les systemes orientes service et pour aider les administrateurs a suivre et comprendre les evolutions a l’execution Nous montrons comment des concepts lies a la conception et a l’execution peuvent etre lies et exploites par un gestionnaire autonomique ou par un administrateur humain Cette approche est validee sur un cas d’utilisation issu du domaine de la sante pervasive et developpe avec Orange Labs","modèles: les deux composants ainsi que par les identifiants des interfaces (présents dans leur type) à lier (contrainte OCL 2). Contrainte OCL 3: Contraintes sur les liaisons. Vérification de la conformité entre modèles:
 Les composants peuvent disposer de propriétés, de paramètres de variables d'état et de contraintes, éventuellement valués selon le type de composant considéré. Ces éléments permettent de gérer une partie de la variabilité supportée. Par exemple, on peut définir une variable d'état tempsTraitement que l'on souhaite d'un niveau moyen à la phase de conception et, au moment de l'exécution, le temps de traitement est valué. Nous avons séparé l'aspect définition de la valeur pour ces quatre concepts. Une définition est en relation soit avec un TypeComposant, soit avec un Composant (de manière exclusive). De plus, toutes les définitions d'un composant ou d'un type de composant ont des identifiants uniques au sein de celui-ci. Une définition de contrainte est en relation avec une définition, qui ne peut pas être une contrainte (contrainte OCL 4).  Ce méta-modèle représente les concepts nécessaires pour définir des modèles de l'architecture de conception. Nous devons retrouver dans ce méta-modèle les éléments qui sont particuliers à l'architecture de conception : les composants sont soit des spécifications, soit des implantations. Cette architecture peut disposer de configurations de spécifications et de configurations d'implantations de composant. Comme nous l'avons vu, une configuration de spécification (respectivement d'implantation) de composant instancie forcément une spécification (respectivement une implantation) de composant. Cela est exprimé avec la contrainte OCL 5. Vérification de la conformité entre modèles:
 De plus, cette architecture supporte une variabilité exprimée au niveau des liaisons avec des cardinalités. Ces dernières sont présentes sur chacune des extrémités des liaisons : côté interface fournie (card-min-fourni et card-max-fourni) et côté interface requise (card-min-requis et card-max-requis). Contrainte OCL 5: Contraintes sur les types de composants des architectures de conception. Vérification de la conformité entre modèles:
 Une architecture de conception peut disposer de configurations de spécifications et d'implantations de composants. Une configuration de spécification (resp. d'implantation) de composant instancie forcément une spécification (resp. d'implantation) de composant. De plus, une liaison permet d'exprimer qu'une implantation de composant peut ou non implanter une unique spécification de composant. Cette liaison est orientée, car la spécification n'a pas besoin de savoir quelles sont les implantations qui l'implantent."
